 3200  1.0000E-01
   i   x             den           ener          pres          vel           cs
   86  2.137500E-01  1.144527E-06  1.106783E+08  8.444949E+01  5.130000E-01  1.108945E+04
   87  2.162500E-01  1.206010E-06  1.050358E+08  8.444949E+01  5.190000E-01  1.080308E+04
   88  2.187500E-01  1.270032E-06  9.974098E+07  8.444949E+01  5.250000E-01  1.052727E+04
   89  2.212500E-01  1.336667E-06  9.476875E+07  8.444949E+01  5.310000E-01  1.026151E+04
   90  2.237500E-01  1.405989E-06  9.009615E+07  8.444949E+01  5.370000E-01  1.000534E+04
   91  2.262500E-01  1.478077E-06  8.570206E+07  8.444949E+01  5.430000E-01  9.758305E+03
   92  2.287500E-01  1.553007E-06  8.156709E+07  8.444949E+01  5.490000E-01  9.519984E+03
   93  2.312500E-01  1.630858E-06  7.767336E+07  8.444949E+01  5.550000E-01  9.289980E+03
   94  2.337500E-01  1.711712E-06  7.400442E+07  8.444949E+01  5.610000E-01  9.067918E+03
   95  2.362500E-01  1.795649E-06  7.054508E+07  8.444949E+01  5.670000E-01  8.853441E+03
   96  2.387500E-01  1.882754E-06  6.728135E+07  8.444949E+01  5.730000E-01  8.646216E+03
   97  2.412500E-01  1.973110E-06  6.420029E+07  8.444949E+01  5.790000E-01  8.445925E+03
   98  2.437500E-01  2.066803E-06  6.128993E+07  8.444949E+01  5.850000E-01  8.252268E+03
   99  2.462500E-01  2.163921E-06  5.853921E+07  8.444949E+01  5.910000E-01  8.064959E+03
  100  2.487500E-01  2.264552E-06  5.593788E+07  8.444949E+01  5.970000E-01  7.883730E+03
  101  2.512500E-01  2.368785E-06  5.347646E+07  8.444949E+01  6.030000E-01  7.708326E+03
  102  2.537500E-01  2.476713E-06  5.114612E+07  8.444949E+01  6.090000E-01  7.538503E+03
  103  2.562500E-01  2.588426E-06  4.893871E+07  8.444949E+01  6.150000E-01  7.374032E+03
  104  2.587500E-01  2.704021E-06  4.684663E+07  8.444949E+01  6.210000E-01  7.214694E+03
  105  2.612500E-01  2.823591E-06  4.486282E+07  8.444949E+01  6.270000E-01  7.060282E+03
  106  2.637500E-01  2.947233E-06  4.298073E+07  8.444949E+01  6.330000E-01  6.910598E+03
  107  2.662500E-01  3.075046E-06  4.119426E+07  8.444949E+01  6.390000E-01  6.765456E+03
  108  2.687500E-01  3.207130E-06  3.949770E+07  8.444949E+01  6.450000E-01  6.624676E+03
  109  2.712500E-01  3.343584E-06  3.788577E+07  8.444949E+01  6.510000E-01  6.488089E+03
  110  2.737500E-01  3.484512E-06  3.635351E+07  8.444949E+01  6.570000E-01  6.355532E+03
  111  2.762500E-01  3.630017E-06  3.489632E+07  8.444949E+01  6.630000E-01  6.226852E+03
  112  2.787500E-01  3.780205E-06  3.350989E+07  8.444949E+01  6.690000E-01  6.101902E+03
  113  2.812500E-01  3.935182E-06  3.219019E+07  8.444949E+01  6.750000E-01  5.980542E+03
  114  2.837500E-01  4.095056E-06  3.093346E+07  8.444949E+01  6.810000E-01  5.862637E+03
  115  2.862500E-01  4.259936E-06  2.973618E+07  8.444949E+01  6.870000E-01  5.748061E+03
  116  2.887500E-01  4.429935E-06  2.859506E+07  8.444949E+01  6.930000E-01  5.636691E+03
  117  2.912500E-01  4.605164E-06  2.750700E+07  8.444949E+01  6.990000E-01  5.528411E+03
  118  2.937500E-01  4.785737E-06  2.646912E+07  8.444949E+01  7.050000E-01  5.423111E+03
  119  2.962500E-01  4.971770E-06  2.547870E+07  8.444949E+01  7.110000E-01  5.320683E+03
  120  2.987500E-01  5.163379E-06  2.453321E+07  8.444949E+01  7.170000E-01  5.221027E+03
  121  3.012500E-01  5.360683E-06  2.363024E+07  8.444949E+01  7.230000E-01  5.124044E+03
  122  3.037500E-01  5.563802E-06  2.276757E+07  8.444949E+01  7.290000E-01  5.029642E+03
  123  3.062500E-01  5.772857E-06  2.194308E+07  8.444949E+01  7.350000E-01  4.937732E+03
